nim,id_mata_kuliah,NIDN,nilai,Semester,Tahun,rand
194015,KAL01,123,70,ganjil,2019,0.504630059
194001,KAL01,123,80,ganjil,2019,
194002,KAL01,123,85,ganjil,2019,
194003,KAL01,123,90,ganjil,2019,
194004,KAL01,123,92,ganjil,2019,
194005,KAL01,123,91,ganjil,2019,
194006,KAL01,123,93,ganjil,2019,
194007,KAL01,123,85,ganjil,2019,
194008,KAL01,787,60,ganjil,2020,
194009,KAL01,787,63,ganjil,2020,
194010,KAL01,787,62,ganjil,2020,
194011,KAL01,787,61,ganjil,2020,
194012,KAL01,787,70,ganjil,2020,
194013,KAL01,787,90,ganjil,2020,
194014,KAL01,787,88,ganjil,2020,
194004,CS01,234,90,genap,2020,
194005,CS01,234,92,genap,2020,
194006,CS01,234,85,genap,2020,
194007,CS01,234,55,genap,2020,
194008,CS01,234,60,genap,2020,
194009,CS01,234,91,genap,2020,
194010,CS01,234,90,genap,2020,
194015,STA02,345,40,ganjil,2021,
194002,STA02,345,50,ganjil,2021,
194004,STA02,345,56,ganjil,2021,
194007,STA02,345,70,ganjil,2021,
194008,STA02,345,72,ganjil,2021,
194011,STA02,345,31,ganjil,2021,
194014,STA02,345,88,ganjil,2021,
194001,KAL02,345,55,ganjil,2020,
194002,KAL02,345,60,ganjil,2020,
194004,KAL02,345,65,ganjil,2020,
194007,KAL02,345,74,ganjil,2020,
